"ID";"Geslacht";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"3643";"T001038";"GM0197";"2004JJ00";"   18998"
"3644";"T001038";"GM0197";"2005JJ00";"   27446"
"3645";"T001038";"GM0197";"2006JJ00";"   27476"
"3646";"T001038";"GM0197";"2007JJ00";"   27570"
"3647";"T001038";"GM0197";"2008JJ00";"   27568"
"3648";"T001038";"GM0197";"2009JJ00";"   27447"
"3649";"T001038";"GM0197";"2010JJ00";"   27500"
"3650";"T001038";"GM0197";"2011JJ00";"   27439"
"3651";"T001038";"GM0197";"2012JJ00";"   27305"
"3652";"T001038";"GM0197";"2013JJ00";"   27082"
"3653";"T001038";"GM0197";"2014JJ00";"   27013"
"3654";"T001038";"GM0197";"2015JJ00";"   26904"
"3655";"T001038";"GM0197";"2016JJ00";"   26912"
"3656";"T001038";"GM0197";"2017JJ00";"   27047"
"3657";"T001038";"GM0197";"2018JJ00";"   26962"
"3658";"T001038";"GM0480";"1960JJ00";"    5153"
"3659";"T001038";"GM0480";"1961JJ00";"    5262"
"3660";"T001038";"GM0480";"1962JJ00";"    5338"
"3661";"T001038";"GM0480";"1963JJ00";"    5428"
"3662";"T001038";"GM0480";"1964JJ00";"    5534"
"3663";"T001038";"GM0480";"1965JJ00";"    5662"
"3664";"T001038";"GM0480";"1966JJ00";"    5773"
"3665";"T001038";"GM0480";"1967JJ00";"    5980"
"3666";"T001038";"GM0480";"1968JJ00";"    6141"
"3667";"T001038";"GM0480";"1969JJ00";"    6266"
"3668";"T001038";"GM0480";"1970JJ00";"    6485"
"3669";"T001038";"GM0480";"1971JJ00";"    6636"
"3670";"T001038";"GM0480";"1972JJ00";"    6825"
"3671";"T001038";"GM0480";"1973JJ00";"    7020"
"3672";"T001038";"GM0480";"1974JJ00";"    7411"
"3673";"T001038";"GM0480";"1975JJ00";"    7590"
"3674";"T001038";"GM0480";"1976JJ00";"    7595"
"3675";"T001038";"GM0480";"1977JJ00";"    7704"
"3676";"T001038";"GM0480";"1978JJ00";"    7737"
"3677";"T001038";"GM0480";"1979JJ00";"    7942"
"3678";"T001038";"GM0480";"1980JJ00";"    8038"
"3679";"T001038";"GM0480";"1981JJ00";"    8185"
