"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"284157";"T001038";"10100";"T001019";"PV24  ";"2017JJ00";"    4838"
"284158";"T001038";"10100";"T001019";"PV24  ";"2018JJ00";"    4885"
"284159";"T001038";"10100";"T001019";"PV24  ";"2019JJ00";"    4739"
"425920";"T001038";"10200";"T001019";"PV20  ";"1988JJ00";"    6216"
"425921";"T001038";"10200";"T001019";"PV20  ";"1989JJ00";"    6267"
"425922";"T001038";"10200";"T001019";"PV20  ";"1990JJ00";"    6269"
"425923";"T001038";"10200";"T001019";"PV20  ";"1991JJ00";"    6072"
"425924";"T001038";"10200";"T001019";"PV20  ";"1992JJ00";"    6119"
"425925";"T001038";"10200";"T001019";"PV20  ";"1993JJ00";"    6499"
"425926";"T001038";"10200";"T001019";"PV20  ";"1994JJ00";"    6449"
"425927";"T001038";"10200";"T001019";"PV20  ";"1995JJ00";"    6157"
"425928";"T001038";"10200";"T001019";"PV20  ";"1996JJ00";"    6176"
"425929";"T001038";"10200";"T001019";"PV20  ";"1997JJ00";"    6364"
"425930";"T001038";"10200";"T001019";"PV20  ";"1998JJ00";"    6262"
"425931";"T001038";"10200";"T001019";"PV20  ";"1999JJ00";"    6142"
"425932";"T001038";"10200";"T001019";"PV20  ";"2000JJ00";"    6291"
"425933";"T001038";"10200";"T001019";"PV20  ";"2001JJ00";"    6490"
"425934";"T001038";"10200";"T001019";"PV20  ";"2002JJ00";"    6626"
"425935";"T001038";"10200";"T001019";"PV20  ";"2003JJ00";"    6615"
"425936";"T001038";"10200";"T001019";"PV20  ";"2004JJ00";"    6638"
"425937";"T001038";"10200";"T001019";"PV20  ";"2005JJ00";"    6462"
"425938";"T001038";"10200";"T001019";"PV20  ";"2006JJ00";"    6360"
"425939";"T001038";"10200";"T001019";"PV20  ";"2007JJ00";"    6000"
"425940";"T001038";"10200";"T001019";"PV20  ";"2008JJ00";"    5795"
"425941";"T001038";"10200";"T001019";"PV20  ";"2009JJ00";"    5705"
"425942";"T001038";"10200";"T001019";"PV20  ";"2010JJ00";"    5622"
"425943";"T001038";"10200";"T001019";"PV20  ";"2011JJ00";"    5808"
"425944";"T001038";"10200";"T001019";"PV20  ";"2012JJ00";"    5846"
"425945";"T001038";"10200";"T001019";"PV20  ";"2013JJ00";"    5614"
"425946";"T001038";"10200";"T001019";"PV20  ";"2014JJ00";"    5661"
"425947";"T001038";"10200";"T001019";"PV20  ";"2015JJ00";"    5450"
"425948";"T001038";"10200";"T001019";"PV20  ";"2016JJ00";"    5162"
"425949";"T001038";"10200";"T001019";"PV20  ";"2017JJ00";"    5247"
"425950";"T001038";"10200";"T001019";"PV20  ";"2018JJ00";"    5154"
"425951";"T001038";"10200";"T001019";"PV20  ";"2019JJ00";"    5200"
"426048";"T001038";"10200";"T001019";"PV24  ";"1988JJ00";"    3657"
"426049";"T001038";"10200";"T001019";"PV24  ";"1989JJ00";"    3739"
"426050";"T001038";"10200";"T001019";"PV24  ";"1990JJ00";"    3850"
"426051";"T001038";"10200";"T001019";"PV24  ";"1991JJ00";"    4013"
"426052";"T001038";"10200";"T001019";"PV24  ";"1992JJ00";"    3983"
"426053";"T001038";"10200";"T001019";"PV24  ";"1993JJ00";"    4370"
"426054";"T001038";"10200";"T001019";"PV24  ";"1994JJ00";"    4433"
"426055";"T001038";"10200";"T001019";"PV24  ";"1995JJ00";"    4371"
"426056";"T001038";"10200";"T001019";"PV24  ";"1996JJ00";"    4514"
"426057";"T001038";"10200";"T001019";"PV24  ";"1997JJ00";"    4745"
"426058";"T001038";"10200";"T001019";"PV24  ";"1998JJ00";"    4571"
"426059";"T001038";"10200";"T001019";"PV24  ";"1999JJ00";"    4694"
"426060";"T001038";"10200";"T001019";"PV24  ";"2000JJ00";"    4974"
"426061";"T001038";"10200";"T001019";"PV24  ";"2001JJ00";"    5313"
"426062";"T001038";"10200";"T001019";"PV24  ";"2002JJ00";"    5527"
"426063";"T001038";"10200";"T001019";"PV24  ";"2003JJ00";"    5559"
"426064";"T001038";"10200";"T001019";"PV24  ";"2004JJ00";"    5823"
"426065";"T001038";"10200";"T001019";"PV24  ";"2005JJ00";"    5768"
"426066";"T001038";"10200";"T001019";"PV24  ";"2006JJ00";"    5751"
"426067";"T001038";"10200";"T001019";"PV24  ";"2007JJ00";"    5548"
"426068";"T001038";"10200";"T001019";"PV24  ";"2008JJ00";"    5412"
"426069";"T001038";"10200";"T001019";"PV24  ";"2009JJ00";"    5366"
"426070";"T001038";"10200";"T001019";"PV24  ";"2010JJ00";"    5317"
"426071";"T001038";"10200";"T001019";"PV24  ";"2011JJ00";"    5250"
"426072";"T001038";"10200";"T001019";"PV24  ";"2012JJ00";"    5431"
"426073";"T001038";"10200";"T001019";"PV24  ";"2013JJ00";"    5410"
"426074";"T001038";"10200";"T001019";"PV24  ";"2014JJ00";"    5166"
"426075";"T001038";"10200";"T001019";"PV24  ";"2015JJ00";"    5024"
"426076";"T001038";"10200";"T001019";"PV24  ";"2016JJ00";"    4723"
"426077";"T001038";"10200";"T001019";"PV24  ";"2017JJ00";"    5055"
"426078";"T001038";"10200";"T001019";"PV24  ";"2018JJ00";"    4949"
"426079";"T001038";"10200";"T001019";"PV24  ";"2019JJ00";"    4966"
